"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   , "Norm2(dU[Rho])" , "Norm2(dU[RhoU])", "Norm2(dU[RhoV])", "Norm2(dU[RhoE])"
          0,           0,          86,      -1.135063017,       1.637614172,       1.437103335,       4.572574603,                 0,                 0,                 0,                 0
          0,           0,          87,      -1.146538939,       1.624068615,       1.423299143,       4.559124415,                 0,                 0,                 0,                 0
          0,           0,          88,      -1.157394299,       1.611444218,       1.410083791,       4.546580396,                 0,                 0,                 0,                 0
          0,           0,          89,       -1.16752051,       1.600061569,       1.397134713,       4.535232359,                 0,                 0,                 0,                 0
          0,           0,          90,      -1.177250898,        1.58901294,       1.384769022,       4.524336289,                 0,                 0,                 0,                 0
          0,           0,          91,      -1.187399881,       1.577164262,       1.372317423,       4.512762835,                 0,                 0,                 0,                 0
          0,           0,          92,      -1.198402631,       1.563994772,       1.360380011,       4.500108571,                 0,                 0,                 0,                 0
          0,           0,          93,      -1.210335582,       1.549345947,       1.348694736,       4.486143264,                 0,                 0,                 0,                 0
          0,           0,          94,       -1.22278656,       1.534252375,       1.337564406,       4.471870726,                 0,                 0,                 0,                 0
          0,           0,          95,      -1.235341753,       1.518609728,       1.326838372,       4.457180026,                 0,                 0,                 0,                 0
          0,           0,          96,      -1.247383537,       1.503112227,       1.316025414,       4.442659188,                 0,                 0,                 0,                 0
          0,           0,          97,      -1.258495121,       1.488870982,       1.305069687,        4.42914661,                 0,                 0,                 0,                 0
          0,           0,          98,      -1.268237798,       1.476710674,       1.294051447,       4.417539765,                 0,                 0,                 0,                 0
          0,           0,          99,      -1.276730379,       1.465338786,       1.282757565,       4.406740754,                 0,                 0,                 0,                 0
          0,           0,         100,      -1.284555507,       1.453646966,       1.270890411,       4.395832049,                 0,                 0,                 0,                 0
          0,           0,         101,      -1.292530753,       1.441101125,        1.25925171,         4.3842953,                 0,                 0,                 0,                 0
          0,           0,         102,      -1.300985418,       1.427884098,       1.247886783,       4.372136179,                 0,                 0,                 0,                 0
          0,           0,         103,      -1.310033489,       1.414460134,       1.236959779,       4.359656479,                 0,                 0,                 0,                 0
          0,           0,         104,      -1.320147287,       1.400703668,       1.226402599,       4.346855024,                 0,                 0,                 0,                 0
          0,           0,         105,      -1.331118806,       1.386333176,       1.216043363,       4.333478795,                 0,                 0,                 0,                 0
          0,           0,         106,      -1.342254995,       1.372056436,       1.205856917,       4.320104648,                 0,                 0,                 0,                 0
          0,           0,         107,      -1.352688873,       1.359600036,       1.196116808,       4.308399217,                 0,                 0,                 0,                 0
          0,           0,         108,      -1.362089526,        1.34855345,        1.18648448,       4.298058535,                 0,                 0,                 0,                 0
